Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
312,Lindy Waters III,27,GSW,SG,38,9,655,76,205,.371,49,148,.331,27,57,.474,.490,8,11,.727,16,81,97,42,22,10,17,55,209,0,,waterli01
312,Lindy Waters III,27,DET,SG,6,0,29,4,12,.333,3,11,.273,1,1,1.000,.458,0,0,,1,0,1,1,2,0,1,3,11,0,,waterli01
313,Josh Okogie,26,2TM,SG,32,2,500,79,167,.473,25,65,.385,54,102,.529,.548,37,51,.725,41,55,96,24,40,15,25,39,220,0,,okogijo01
313,Josh Okogie,26,PHO,SG,25,1,351,56,114,.491,16,42,.381,40,72,.556,.561,22,32,.688,32,40,72,14,21,10,16,28,150,0,,okogijo01
313,Josh Okogie,26,CHO,SG,7,1,149,23,53,.434,9,23,.391,14,30,.467,.519,15,19,.789,9,15,24,10,19,5,9,11,70,0,,okogijo01
314,Ajay Mitchell,22,OKC,SG,34,1,561,84,166,.506,22,51,.431,62,115,.539,.572,28,33,.848,17,50,67,57,24,3,28,59,218,0,,mitchaj01
315,Kris Murray,24,POR,SF,54,2,742,90,199,.452,21,81,.259,69,118,.585,.505,17,42,.405,54,68,122,46,23,12,28,47,218,0,,murrakr01
316,Isaac Okoro,24,CLE,SG,38,18,719,77,173,.445,40,102,.392,37,71,.521,.561,21,29,.724,32,52,84,53,21,15,15,73,215,0,,okorois01
317,Quinten Post,24,GSW,PF,26,9,410,79,172,.459,42,103,.408,37,69,.536,.581,14,17,.824,26,73,99,39,10,10,20,51,214,0,,postqu01
318,Bol Bol,25,PHO,PF,28,9,387,83,159,.522,27,82,.329,56,77,.727,.607,18,24,.750,18,79,97,18,6,23,16,17,211,0,,bolbo01
